Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Genotype,Protein,Geo_Location,U_S__State,Host,Isolation_Source,Collection_Date,GenBank_Title
QIZ14077,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14089,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14137,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14161,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14173,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14305,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ14341,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61266,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: WA",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMI94525,2020-07-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: San Diego, California",CA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKG89546,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Massachusetts",MA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ84831,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Thailand",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR87477,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIZ13179,2020-04-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMU25911,2020-08-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Belize",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMU26067,2020-08-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Guatemala",,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMT96232,2020-08-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: FL",FL,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QLC48527,2020-08-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Germany: Bavaria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMI91322,2020-07-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: San Diego, California",CA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMI91478,2020-07-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: San Diego, California",CA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMI94537,2020-07-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: San Diego, California",CA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QMI96032,2020-07-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: San Diego, California",CA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QLL35698,2020-07-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: FL",FL,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QLC91544,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Wisconsin, Dane County",WI,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QLC91784,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Wisconsin, Dane County",WI,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QLC93092,2020-07-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKV37175,2020-06-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU30461,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,King County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU31601,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU31613,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU31625,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU52857,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU52917,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU52929,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU52977,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53001,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53025,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53037,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53049,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53073,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53085,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53097,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53133,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53145,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53169,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53181,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53193,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53217,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53241,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53265,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53289,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53421,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKU53577,2020-06-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Washington,Whatcom County",WA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKN61253,2020-06-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Taiwan",,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKN61265,2020-06-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Taiwan",,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKM76354,2020-06-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Germany: Dusseldorf",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKG89678,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Massachusetts",MA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKG90278,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Massachusetts",MA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QKG90362,2020-06-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Massachusetts",MA,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJY78271,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJY78283,2020-05-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJX68906,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Michigan",MI,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJX68918,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Michigan",MI,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJX45139,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: CA",CA,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJS53350,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Greece: Athens",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJS53422,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Greece: Athens",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJS53758,2020-05-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Greece: Athens",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR86469,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR87429,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR87453,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR87561,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR87585,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88809,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88821,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88833,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88881,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88893,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88905,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJR88917,2020-05-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Australia: Victoria",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ39272,2020-05-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: MI",MI,Homo sapiens,"swab",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ04457,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Kazakhstan",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJQ04469,2020-05-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"Kazakhstan",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJF75407,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: Michigan",MI,Homo sapiens,"swab",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJF77882,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"India",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJE37851,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA",,Homo sapiens,"",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24401,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24485,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24497,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NJ",NJ,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24509,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24521,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24545,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24653,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24677,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24689,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24701,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24725,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24833,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24941,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD24965,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25013,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25133,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25157,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25229,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25373,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25481,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25517,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25625,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25649,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QJD25733,2020-04-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1273,GenBank,complete,NaN,surface glycoprotein,"USA: NY",NY,Homo sapiens,"oronasopharynx",2020-03-20,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
